HarvestedAcres;Yield(Unit/Acre);Production;Price(Dollars/Unit);Unit;Value(Dollars)
44;1.93;85;1729.41;Tons;147000
8410;17.72;149000;314.00;Tons;46786000
1970;8.22;16200;853.46;Tons;13826000
14800;6.53;96600;865.38;Tons;83596000
2440;5.29;12900;897.83;Tons;11582000
2670;2.57;6850;1630.51;Tons;11169000
59500;12.92;769000;373.14;Tons;286941000
29200;9.45;276000;299.00;Tons;82523000
3670;15.07;55300;293.16;Tons;16212000
9250;5.02;46400;1755.82;Tons;81470000
34800;11.15;388000;323.02;Tons;125331000
195;1.96;382;3201.57;Tons;1223000
73;0.52;38;1263.16;Tons;48000
16700;4.90;81900;1684.40;Tons;137952000
13400;9.70;130000;392.85;Tons;51070000
4910;3.71;18200;1362.09;Tons;24790000
44900;4.01;180000;1376.43;Tons;247758000
43400;4.26;185000;5614.05;Tons;1038600000
416;4.52;1880;1284.57;Tons;2415000
293;3.65;1070;1355.14;Tons;1450000
2310;3.81;8800;1623.52;Tons;14287000
36400;8.79;320000;583.68;Tons;186777000
4740;4.77;22600;1500.66;Tons;33915000
223;0.35;78;1205.13;Tons;94000
1640;2.00;3280;1399.70;Tons;4591000
97200;7.73;751000;573.23;Tons;430492000
42900;4.13;177000;1559.33;Tons;276002000
126;;;;Tons;1407000
16200;3.65;59100;2052.57;Tons;121307000
1670;3.74;6250;1797.60;Tons;11235000
630;2.27;1430;2934.97;Tons;4197000
170;2.60;442;1138.01;Tons;503000
711;3.21;2280;1486.84;Tons;3390000
3720;6.45;24000;1225.17;Tons;29404000
59900;4.61;276000;2817.66;Tons;777675000
3390;5.34;18100;1503.04;Tons;27205000
162;3.36;544;1604.78;Tons;873000
44;1.93;85;1729.41;Tons;147000
6260;18.69;117000;290;Tons;33930000
1890;8.84;16700;806.35;Tons;13466000
19100;7.17;137000;789.36;Tons;108143000
2140;5.47;11700;809.4;Tons;9470000
2640;2.66;7020;1722.51;Tons;12092000
53500;13.83;740000;343.65;Tons;254300000
28500;8.46;241000;238.81;Tons;57554000
3670;17.19;63100;268.86;Tons;16965000
9340;5.05;47200;1773.62;Tons;83715000
34100;11.26;384000;340.01;Tons;130562000
195;2.08;406;3371.92;;1369000
73;0.52;38;1263.16;Tons;48000
16500;4.11;67800;1678.6;Tons;113809000
13200;11.36;150000;398.3;Tons;59745000
4880;3.55;17300;1250;Tons;21625000
44700;2.95;132000;1409.82;Tons;186096000
44200;3.62;160000;5862.26;Tons;937962000
416;3.92;1630;1564.42;;2550000
307;3.75;1150;1386.09;Tons;1594000
1730;3.82;6600;2503.64;Tons;16524000
35500;8.9;316000;555.13;Tons;175422000
4740;4.62;21900;1526.21;Tons;33424000
219;1.38;302;1231.79;Tons;372000
1510;2.38;3600;1550;Tons;5580000
95900;7.11;682000;546.14;Tons;372467000
48400;3.1;150000;1695.15;Tons;254273000
181;;;;;1341000
14900;3.37;50200;2113.13;Tons;106079000
1700;3.4;5780;1997.4;Tons;11545000
679;2.55;1730;3384.97;Tons;5856000
170;1.7;289;1000;Tons;289000
711;4.5;3200;1419.69;Tons;4543000
3730;5.47;20400;1058.19;Tons;21587000
57500;4;230000;2843.57;Tons;654021000
9230;9.17;84600;481.54;Tons;40738000
2530;5.14;13000;1497.69;Tons;19470000
138;4.23;584;1804.79;Tons;1054000
6500;17.23;112000;317;Tons;35504000
747;6.02;4500;684.67;Tons;3081000
19200;7.81;150000;699.67;Tons;104951000
1940;4.69;9090;751.27;Tons;6829000
2620;2.38;6240;1548.56;Tons;9663000
56900;12.13;690000;362.14;Tons;249877000
25200;7.54;190000;314.04;Tons;59668000
3590;16.46;59100;286.87;Tons;16954000
9580;4.12;39500;1329.37;Tons;52510000
33000;11.82;390000;348.98;Tons;136101000
195;1.33;260;3607.69;Tons;938000
16400;3.37;55200;1488.8;Tons;82182000
13200;10.91;144000;440.41;Tons;63419000
5360;2.31;12400;1318.31;Tons;16347000
44900;2.1;94300;1123.98;Tons;105991000
45200;2.2;99300;4646.48;Tons;461395000
408;;;;;2666000
315;2.79;879;2235.49;Tons;1965000
1740;6.72;11700;1623.93;Tons;19000000
36000;8.19;295000;528.73;Tons;155975000
4740;5.23;24800;1402.14;Tons;34773000
372;0.61;227;1938.33;Tons;440000
1370;2.24;3070;1695.77;Tons;5206000
91200;6.67;608000;560.71;Tons;340913000
43800;3.04;133000;1640.89;Tons;218238000
176;;;;;1312000
14400;2.97;42800;2192.43;Tons;93836000
1730;3.49;6040;1983.77;Tons;11982000
670;2.39;1600;3008.75;Tons;4814000
200;2.5;500;1000;Tons;500000
579;3.06;1770;1325.99;Tons;2347000
4000;5.6;22400;945.94;Tons;21189000
56800;2.61;148000;2375.08;Tons;351512000
8500;9.49;80700;440.61;Tons;35557000
