"Periode","Data Inflasi"
2013-10-01,"8.32"
2013-11-01,"8.37"
2013-12-01,"8.38"
2014-01-01,"8.22"
2014-02-01,"7.75"
2014-03-01,"7.32"
2014-04-01,"7.25"
2014-05-01,"7.32"
2014-06-01,"6.7"
2014-07-01,"4.53"
2014-08-01,"3.99"
2014-09-01,"4.53"
2014-10-01,"4.83"
2014-11-01,"6.23"
2014-12-01,"8.36"
2015-01-01,"6.96"
2015-02-01,"6.29"
2015-03-01,"6.38"
2015-04-01,"6.79"
2015-05-01,"7.15"
2015-06-01,"7.26"
2015-07-01,"7.26"
2015-08-01,"7.18"
2015-09-01,"6.83"
2015-10-01,"6.25"
2015-11-01,"4.89"
2015-12-01,"3.35"
2016-01-01,"4.14"
2016-02-01,"4.42"
2016-03-01,"4.45"
2016-04-01,"3.6"
2016-05-01,"3.33"
2016-06-01,"3.45"
2016-07-01,"3.21"
2016-08-01,"2.79"
2016-09-01,"3.07"
2016-10-01,"3.31"
2016-11-01,"3.58"
2016-12-01,"3.02"
2017-01-01,"3.49"
2017-02-01,"3.83"
2017-03-01,"3.61"
2017-04-01,"4.17"
2017-05-01,"4.33"
2017-06-01,"4.37"
2017-07-01,"3.88"
2017-08-01,"3.82"
2017-09-01,"3.72"
2017-10-01,"3.58"
2017-11-01,"3.3"
2017-12-01,"3.61"
2018-01-01,"3.25"
2018-02-01,"3.18"
2018-03-01,"3.4"
2018-04-01,"3.41"
2018-05-01,"3.23"
2018-06-01,"3.12"
2018-07-01,"3.18"
2018-08-01,"3.2"
2018-09-01,"2.88"
2018-10-01,"3.16"
2018-11-01,"3.23"
2018-12-01,"3.13"
2019-01-01,"2.82"
2019-02-01,"2.57"
2019-03-01,"2.48"
2019-04-01,"2.83"
2019-05-01,"3.32"
2019-06-01,"3.28"
2019-07-01,"3.32"
2019-08-01,"3.49"
2019-09-01,"3.39"
2019-10-01,"3.13"
2019-11-01,"3"
2019-12-01,"2.72"
2020-01-01,"2.68"
2020-02-01,"2.98"
2020-03-01,"2.96"
2020-04-01,"2.67"
2020-05-01,"2.19"
2020-06-01,"1.96"
2020-07-01,"1.54"
2020-08-01,"1.32"
2020-09-01,"1.42"
2020-10-01,"1.44"
2020-11-01,"1.59"
2020-12-01,"1.68"
2021-01-01,"1.55"
2021-02-01,"1.38"
2021-03-01,"1.37"
2021-04-01,"1.42"
2021-05-01,"1.68"
2021-06-01,"1.33"
2021-07-01,"1.52"
2021-08-01,"1.59"
2021-09-01,"1.6"
2021-10-01,"1.66"
2021-11-01,"1.75"
2021-12-01,"1.87"
2022-01-01,"2.18"
2022-02-01,"2.06"
2022-03-01,"2.64"
2022-04-01,"3.47"
2022-05-01,"3.55"
2022-06-01,"4.35"
2022-07-01,"4.94"
2022-08-01,"4.69"
2022-09-01,"5.95"
2022-10-01,"5.71"
2022-11-01,"5.42"
2022-12-01,"5.51"
2023-01-01,"5.28"
2023-02-01,"5.47"
2023-03-01,"4.97"
2023-04-01,"4.33"
2023-05-01,"4"
2023-06-01,"3.52"
2023-07-01,"3.08"
2023-08-01,"3.27"
2023-09-01,"2.28"
